# vertices: 51777, # edges: 107963
Number of sequences: 10000.
Loaded sequence batch successfully in 0.00683904s.
Sequence length: 63, alignment cost:0, forward num cells:52026, reverse num cells: 61705
Sequence length: 34, alignment cost:0, forward num cells:53202, reverse num cells: 52079
Sequence length: 35, alignment cost:0, forward num cells:53469, reverse num cells: 52028
Sequence length: 86, alignment cost:0, forward num cells:71307, reverse num cells: 52660
Sequence length: 86, alignment cost:0, forward num cells:52660, reverse num cells: 71307
Sequence length: 86, alignment cost:0, forward num cells:52660, reverse num cells: 71307
Sequence length: 86, alignment cost:0, forward num cells:71307, reverse num cells: 52660
Sequence length: 86, alignment cost:0, forward num cells:52660, reverse num cells: 71307
Sequence length: 86, alignment cost:0, forward num cells:71307, reverse num cells: 52660
Sequence length: 68, alignment cost:0, forward num cells:65895, reverse num cells: 52028
Sequence length: 67, alignment cost:0, forward num cells:52151, reverse num cells: 65784
Sequence length: 67, alignment cost:0, forward num cells:52151, reverse num cells: 65784
Sequence length: 68, alignment cost:0, forward num cells:65895, reverse num cells: 52028
Sequence length: 107, alignment cost:0, forward num cells:99734, reverse num cells: 94959
Sequence length: 108, alignment cost:0, forward num cells:121810, reverse num cells: 127914
Sequence length: 86, alignment cost:0, forward num cells:52660, reverse num cells: 71307
Sequence length: 86, alignment cost:0, forward num cells:71307, reverse num cells: 52660
Sequence length: 123, alignment cost:0, forward num cells:124476, reverse num cells: 127989
Sequence length: 121, alignment cost:0, forward num cells:127983, reverse num cells: 140956
Sequence length: 84, alignment cost:0, forward num cells:69980, reverse num cells: 52039
Sequence length: 84, alignment cost:0, forward num cells:52039, reverse num cells: 69980
Sequence length: 87, alignment cost:0, forward num cells:71324, reverse num cells: 52881
Sequence length: 87, alignment cost:0, forward num cells:52881, reverse num cells: 71324
Sequence length: 86, alignment cost:0, forward num cells:71307, reverse num cells: 52660
Sequence length: 86, alignment cost:0, forward num cells:52660, reverse num cells: 71307
Sequence length: 123, alignment cost:0, forward num cells:124476, reverse num cells: 127989
Sequence length: 121, alignment cost:0, forward num cells:127983, reverse num cells: 140956
Sequence length: 130, alignment cost:0, forward num cells:128028, reverse num cells: 120507
